Strain	interval	pH	Phase_size_order	Phase_mid_point	growth_rate	p_val	Rsqr
GS115	1	DGM	1	14,0016666666667	0,320234346721768	7,01692213123229e-21	0,708102880723158
I1G	1	DGM	1	14,0019444444444	0,309842425288532	5,72165097381634e-10	0,411810772346219
M1G	1	DGM	1	15,3638888888889	0,263683747615627	3,50134439867927e-21	0,71373320249096
I6G	1	DGM	1	13,7983333333333	0,202135680896098	0,550524342444711	-0,00897137130910064
M6G	1	DGM	1	17,5438888888889	0,231992140013467	0,0666645268899271	0,0331554355878556
I1sS	1	DGM	1	14,1011111111111	0,119077990696458	0,691982378931206	-0,0118295140323321
M1S	1	DGM	1	14,7516666666667	0,2738341899079	1,79228364076728e-11	0,465639688349666
M1sS	1	DGM	1	14,3691666666667	0,249570042792161	0,141147085968737	0,0165883191726581
I1S	1	DGM	1	13,9605555555556	0,21830150668199	0,331568559420059	-0,000614363169087362
